,Sector,Lat,Long
0,Sector 1,28.590229049999998,77.3124577435579
1,Sector 2,28.5850799,77.31526236234811
2,Sector 3,28.5805677,77.31886980069564
3,Sector 4,28.5836826,77.32296576702811
4,Sector 5,28.5887898,77.32114561912512
5,Sector 6,28.59297695,77.31869383436373
6,Sector 7,28.5726442,77.3547609
7,Sector 8,28.5726442,77.3547609
8,Sector 9,28.5868527,77.32739260029359
9,Sector 10,28.5726442,77.3547609
10,Sector 11,28.5726442,77.3547609
11,Sector 12,28.59511835,77.33848622983783
12,Sector 13,28.5726442,77.3547609
13,Sector 14,28.58723095,77.30822173851367
14,Sector 15,28.58279785,77.31022209445986
15,Sector 16,28.657092149999997,77.3554905417942
16,Sector 17,28.573746900000003,77.32003759056985
17,Sector 18,28.570356949999997,77.32326888247542
18,Sector 19,28.5783966,77.3247692190847
19,Sector 20,28.5832586,77.33137425829563
20,Sector 21,28.586822750000003,77.3361621904921
21,Sector 22,28.5952028,77.34727924425076
22,Sector 23,28.592354399999998,77.3538133162243
23,Sector 24,28.586944,77.3480347
24,Sector 25,28.5830083,77.33981905600054
25,Sector 26,28.579465550000002,77.33512251572104
26,Sector 27,28.5746768,77.32872811144435
27,Sector 28,28.57160795,77.3318282972244
28,Sector 29,28.5708315,77.33582067489667
29,Sector 30,28.57330205,77.33917320695312
30,Sector 31,28.577204950000002,77.3437034774487
31,Sector 32,28.579607950000003,77.35024251064897
32,Sector 33,28.58839945,77.35633362748496
33,Sector 34,28.58372415,77.36046748785341
34,Sector 35,28.580615199999997,77.35630306571878
35,Sector 36,28.57190815,77.3485322352144
36,Sector 37,28.5726442,77.3547609
37,Sector 38,28.657092149999997,77.3554905417942
38,Sector 39,28.5686223,77.35210967063699
39,Sector 40,28.5670239,77.35610360026834
40,Sector 41,28.566223700000002,77.36174560894332
41,Sector 42,28.5580927,77.36117783858793
42,Sector 43,28.55759455,77.35167904720552
43,Sector 44,28.553183699999998,77.33817160227292
44,Sector 45,28.55060205,77.35051278655561
45,Sector 46,28.55216265,77.36060566177547
46,Sector 47,28.549828400000003,77.37006993419931
47,Sector 48,28.556710250000002,77.3687445257849
48,Sector 49,28.5640158,77.36719144528972
49,Sector 50,28.575972399999998,77.37299531142948
50,Sector 51,28.58215345,77.37145700329111
51,Sector 52,28.5885198,77.36890648248587
52,Sector 53,28.5911007,77.36280529745704
53,Sector 54,28.5726442,77.3547609
54,Sector 55,28.6043261,77.3480293423425
55,Sector 56,28.603871650000002,77.342572028505
56,Sector 57,28.605034349999997,77.35346785731855
57,Sector 58,28.60656635,77.35901820963323
58,Sector 59,28.608024800000003,77.36762826944215
59,Sector 60,28.60320815,77.36720468424281
60,Sector 61,28.59645805,77.36756438394845
61,Sector 62,28.6291554,77.3742248
62,Sector 63,28.62399925,77.38370739533995
63,Sector 64,28.61248315,77.37703080111208
64,Sector 65,28.61129855,77.38533248017634
65,Sector 66,28.6052229,77.37640729564947
66,Sector 67,28.60476175,77.38481841312546
67,Sector 68,28.4530401,77.5473763462683
68,Sector 69,28.58379155,77.30319265337253
69,Sector 70,28.597637849999998,77.38432381108464
70,Sector 71,28.59425315,77.3761946386738
71,Sector 72,28.4758348,77.55447875076581
72,Sector 73,28.4530401,77.5473763462683
73,Sector 74,28.5726442,77.3547609
74,Sector 75,28.4758348,77.55447875076581
75,Sector 76,28.4530401,77.5473763462683
76,Sector 77,28.58379155,77.30319265337253
77,Sector 78,28.58379155,77.30319265337253
78,Sector 79,28.4530401,77.5473763462683
79,Sector 80,28.58379155,77.30319265337253
80,Sector 81,28.5868527,77.32739260029359
81,Sector 82,28.531154100000002,77.3899335641002
82,Sector 83,28.52515145,77.39860841102819
83,Sector 84,28.4530401,77.5473763462683
84,Sector 85,28.5180798,77.40448946289212
85,Sector 86,28.58379155,77.30319265337253
86,Sector 87,28.5868527,77.32739260029359
87,Sector 88,28.52929225,77.42414466834524
88,Sector 89,28.58379155,77.30319265337253
89,Sector 90,28.51223945,77.41425590820192
90,Sector 91,28.514002849999997,77.3976807921918
91,Sector 92,28.518177100000003,77.39489696091766
92,Sector 93,28.522950700000003,77.38611652635943
93,Sector 94,28.551017199999997,77.32375904907622
94,Sector 95,28.4530401,77.5473763462683
95,Sector 96,28.542113450000002,77.34794136638257
96,Sector 97,28.54046335,77.35409818715652
97,Sector 98,28.5370274,77.36008136045481
98,Sector 99,28.54345895,77.35892385401539
99,Sector 100,28.5726442,77.3547609
100,Sector 101,28.657092149999997,77.3554905417942
101,Sector 102,28.58379155,77.30319265337253
102,Sector 103,28.58379155,77.30319265337253
103,Sector 104,28.4758348,77.55447875076581
104,Sector 105,28.5315704,77.36917722190071
105,Sector 106,28.4758348,77.55447875076581
106,Sector 107,28.545932,77.37656096549142
107,Sector 108,28.52660665,77.37679362664534
108,Sector 109,28.58379155,77.30319265337253
109,Sector 110,28.4758348,77.55447875076581
110,Sector 111,28.58379155,77.30319265337253
111,Sector 112,28.4530401,77.5473763462683
112,Sector 113,28.58379155,77.30319265337253
113,Sector 114,28.58379155,77.30319265337253
114,Sector 115,28.58379155,77.30319265337253
115,Sector 116,28.5868527,77.32739260029359
116,Sector 117,28.5868527,77.32739260029359
117,Sector 118,28.5868527,77.32739260029359
118,Sector 119,28.5868527,77.32739260029359
119,Sector 120,28.58623125,77.39659348095307
120,Sector 121,28.4530401,77.5473763462683
121,Sector 122,28.592906149999997,77.397566128969
122,Sector 123,28.4530401,77.5473763462683
123,Sector 124,28.548303599999997,77.32780566937684
124,Sector 125,28.5868527,77.32739260029359
125,Sector 126,28.5868527,77.32739260029359
126,Sector 127,28.5868527,77.32739260029359
127,Sector 128,28.5726442,77.3547609
128,Sector 129,28.5868527,77.32739260029359
129,Sector 130,28.5868527,77.32739260029359
130,Sector 131,28.5868527,77.32739260029359
131,Sector 132,28.5116887,77.37677006182705
132,Sector 133,28.5051604,77.37145640390182
133,Sector 134,28.5868527,77.32739260029359
134,Sector 135,28.49800465,77.40003259320363
135,Sector 136,28.507924099999997,77.40167257287418
136,Sector 137,28.50863715,77.41045257513859
137,Sector 138,28.5868527,77.32739260029359
138,Sector 139,28.4530401,77.5473763462683
139,Sector 140,28.4758348,77.55447875076581
140,Sector 141,28.5868527,77.32739260029359
141,Sector 142,28.4530401,77.5473763462683
142,Sector 143,28.50266325,77.42625566496575
143,Sector 144,28.5868527,77.32739260029359
144,Sector 145,28.5868527,77.32739260029359
145,Sector 146,28.5868527,77.32739260029359
146,Sector 147,28.5868527,77.32739260029359
147,Sector 148,28.4758348,77.55447875076581
148,Sector 149,28.5868527,77.32739260029359
149,Sector 150,28.5868527,77.32739260029359
150,Sector 151,28.4530401,77.5473763462683
151,Sector 152,28.5868527,77.32739260029359
152,Sector 153,28.5868527,77.32739260029359
153,Sector 154,28.5868527,77.32739260029359
154,Sector 155,28.5868527,77.32739260029359
155,Sector 156,28.5868527,77.32739260029359
156,Sector 157,28.4530401,77.5473763462683
157,Sector 158,28.4758348,77.55447875076581
158,Sector 159,28.5868527,77.32739260029359
159,Sector 160,28.5051604,77.37145640390182
160,Sector 161,28.5868527,77.32739260029359
161,Sector 162,28.5868527,77.32739260029359
162,Sector 163,28.4758348,77.55447875076581
